ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,WHITE NON-HISPANIC,1/17/12 11:10,W 4Th St / A St,Possession of Class B,,,
BPD,WHITE HISPANIC,1/17/12 13:35,Old Callahan Way,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/17/12 17:45,Boston St/Bellflower St,Possession of Class A,,,
BPD,BLACK HISPANIC,1/17/12 17:45,Boston St/Bellflower Street,Distribution of Class A,,,
BPD,WHITE HISPANIC,1/17/12 19:00,Tremont St,Possession of Class A,,,
BPD,WHITE HISPANIC,1/17/12 19:00,East Berkeley/Fay,Distribution of Class B,,,
BPD,BLACK HISPANIC,1/17/12 19:06,Coventry/Tremont St,Distribution of Class A,,,
BPD,BLACK NON-HISPANIC,1/17/12 20:00,Berkeley/Fay,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/17/12 20:00,East Berkeley/Fay,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/17/12 20:26,Northampton/Shawmut,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/17/12 20:26,Northampton/Shawmut Av,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/17/12 20:26,Northampton/Shawmut Av,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/18/12 2:05,W Eighth St,Distribution of Class C,,,
BPD,BLACK NON-HISPANIC,1/18/12 15:45,Boylston/Lamartine,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE HISPANIC,1/18/12 16:17,W. Boundry Rd.,Distribution of Class B,,,
BPD,BLACK NON-HISPANIC,1/18/12 18:00,Lamartine,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/18/12 18:20,Chelsea St,"Poss. W/I to Distribute, Class A",,,
ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,BLACK NON-HISPANIC,1/18/12 19:30,Massachusetts Av,Distribution of Class B,,,
BPD,WHITE NON-HISPANIC,1/18/12 19:30,Massachusetts Ave,Possession of Class B,,,
BPD,WHITE HISPANIC,1/18/12 19:31,Esmond St,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/19/12 9:45,Wells Avenue,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/19/12 11:35,Tremont St,Possession of Class A,,,
BPD,WHITE NON-HISPANIC,1/19/12 11:35,Tremont St,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/19/12 17:02,Lattimore Ct,"Distribution of Class B, Within 100' Play Ground",,,
BPD,BLACK NON-HISPANIC,1/19/12 17:20,Washington St,"Distribution of Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/19/12 17:37,Morrissey Blvd,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/19/12 17:37,Morrissey Blvd,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/19/12 18:20,Bellflower St/ Boston St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/19/12 18:30,Boston St / Bellflower St,Possession of Class B,,,
BPD,WHITE HISPANIC,1/19/12 18:45,Border St & Falcon St,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/19/12 21:30,Boston St,Possession of Class A,,,
BPD,WHITE HISPANIC,1/19/12 21:45,Slayton Way,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/19/12 22:00,Boston St,Possession of Class A,,,
BPD,BLACK HISPANIC,1/20/12 0:55,Magazine St @ Norfolk Av,Possession of Class B,,,
BPD,WHITE HISPANIC,1/20/12 10:00,Mercer Street,"Poss. W/I to Distribute, Class A",,,
BPD,WHITE NON-HISPANIC,1/20/12 11:35,Hano Street,"Distribution of Class D, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/20/12 13:50,Centre St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/20/12 14:00,Albany St,Possession of Class A,,,
BPD,WHITE HISPANIC,1/20/12 18:35,Ernst (Rear),"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/20/12 18:35,Ernst (Rear),Possession of Class B,,,
BPD,WHITE HISPANIC,1/20/12 19:55,Smith St,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE HISPANIC,1/20/12 20:01,Paris Street,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
